Mahesh Kaushik Stock Market Data Bank  Updated Till Sept 2024,,,,,,,,,,,,,,,,,,,,,,
BSE Code,Company Name          ,Sector,Face Value,Total Equity Capital,Total Share Cr.,Book Value,Sales in Cr.,Net Sale Par Share,Net Profit Cr.,EPS,Dividend Rupees,D/E ratio,RONW %,Promoters %,Pledged %,Institutional %,Market Cap,Price ,52 Week High,52 Week Low,52 Week High/ Low Ratio,Entprise Value
530973,Alfa Ica (India) Ltd.,Laminates/Decoratives,10,4.04,0.40,54.94,68.49,169.53,1.68,4.16,0,0.64,8.02,71.12,0,0.05,34.75,84.01,126,48.51,2.60,48.26
517546,Alfa Transformers Ltd.,Electric Equipment,10,9.15,0.92,10.12,64.72,70.73,-1.41,8.34,0,0.98,141.1,46.88,0,0,81.58,86.9,126.36,52.25,2.42,88.02
531156,Alfavision Overseas (India) Ltd.,Trading,1,3.15,3.15,13.34,58.58,18.60,-2.17,0.09,0,3.03,1.65,24.8,0,0,55.55,17.45,20.55,11,1.87,191.03
505216,Alfred Herbert (India) Ltd.,Finance - NBFC,10,0.77,0.08,1416.96,1.79,23.25,0.68,9.38,4,0,0.71,73.86,0,0.02,128.11,1599.5,1889,755.75,2.50,127.98
505725,Algoquant Fintech Ltd.,Engineering - Industrial Equipments,2,1.61,0.81,56.97,64.17,79.71,9.95,12.2,0,0.89,-8.64,65.9,17.52,5.6,993.53,1273,1619.8,612.5,2.64,1012.02
531147,Alicon Castalloy Ltd.,Castings/Forgings,5,8.06,1.61,328.73,1559.37,967.35,61.28,28.44,3,0.58,9.83,55.2,0,9.93,2303.25,1383.15,1543.15,779.75,1.98,2572.3
533029,Alkali Metals Ltd.,Chemicals,10,10.18,1.02,46.34,82.86,81.39,1.13,1.11,1,0.36,2.2,69.59,20.92,0.07,127.38,123.65,165,94.25,1.75,145.35
539523,Alkem Laboratories Ltd.,Pharmaceuticals & Drugs,2,23.91,11.96,931.53,12667.58,1059.61,1811.46,146.14,40,0.09,17.56,56.38,0,27.26,72833.62,6158.7,6440,3440.05,1.87,72725
543453,Alkosign Ltd.,Wood & Wood Products,10,7.2,0.72,43.42,35.69,49.57,0.78,1.09,0.1,1.68,-3.68,40.32,0,9.73,81.3,116,260.95,101.6,2.57,100.82
506767,Alkyl Amines Chemicals Ltd.,Chemicals,2,10.22,5.11,256.65,992.88,194.30,196.93,29.13,10,0,12.26,71.97,0,4.17,12132.03,2376.05,2730,1805,1.51,12101.29
532345,Allcargo Gati Ltd.,Logistics,2,26.05,13.03,60.4,1697.99,130.36,6.12,2.62,0,0,4.9,46.9,0.19,11.58,1559.13,104.9,170.9,90.01,1.90,1467.79
532749,Allcargo Logistics Ltd.,Logistics,2,196.56,98.28,12.57,13187.83,134.19,147.35,2.07,1,0.42,17.94,63.66,0,13.6,6610.19,66.64,346.7,58.63,5.91,7112.23
543954,Allcargo Terminals Ltd.,Logistics,2,49.14,24.57,8.7,732.98,29.83,39.6,1.54,0,0.18,22.33,68.13,0,7,1109.32,44.56,82.5,33.64,2.45,1134.64
532633,Alldigi Tech Ltd.,BPO/ITeS,10,15.24,1.52,144.94,469.37,307.99,64,43.55,45,0,35.3,73.39,0,1.81,1679.11,1096.5,1250,579.15,2.16,1622.93
534064,Alliance Integrated Metaliks Ltd.,Engineering - Industrial Equipments,1,13.17,13.17,-5.39,82.76,6.28,-210.02,4.88,0,-1.47,0,62.94,12.59,1.54,776.08,19.26,103,19.65,5.24,1027.79
544203,Allied Blenders And Distillers Ltd.,Breweries & Distilleries,2,48.82,24.41,51.58,7668.57,314.16,1.83,0.28,0,1.82,1.17,80.91,0,7.35,9668.18,338.9,374.7,282.05,1.33,10413.66
532875,Allied Digital Services Ltd.,IT - Software,5,27.65,5.53,83.89,687.06,124.24,45.84,4.01,1.5,0.12,4.89,52.09,0,1.81,1635.89,284.2,319.55,110.65,2.89,1680.65
531400,Almondz Global Securities Ltd.,Finance - Stock Broking,1,16.09,16.09,9.68,116.29,7.23,26,7.88,0,0.02,2.33,56.36,0,1.99,547.28,30.89,175,26.9,6.51,541.14
521070,Alok Industries Ltd.,Textile,1,496.53,496.53,-36.92,5509.59,11.10,-845.86,-1.64,0,-1.35,0,75,0,2.84,12765.63,25.58,39.24,16.12,2.43,37080.84
532878,Alpa Laboratories Ltd.,Pharmaceuticals & Drugs,10,21.04,2.10,79.42,108.74,51.68,16.78,7.97,0,0.02,9.14,57.29,0,0.36,242.81,116.75,128.4,70,1.83,246.8
526397,Alphageo (India) Ltd.,Engineering,10,6.37,0.64,407.44,98.67,154.90,1.05,13.1,8,0,6.2,46.08,4.41,2,277.5,424.3,522.15,268,1.95,199.42
542770,Alphalogic Techsys Ltd.,BPO/ITeS,5,23.73,4.75,6.25,53.92,11.36,5.29,0.62,0,0.11,10.66,73.78,0,0,1069.09,165.4,400.55,45.11,8.88,1072.4
526519,Alpine Housing Development Corporation Ltd.,Construction - Real Estate,10,17.32,1.73,46.1,57.56,33.23,3.43,1.98,0.5,0.28,3.18,73.86,0,0.21,191.84,107.2,200.8,99,2.03,205.83
530715,Alps Industries Ltd.,Textile,10,39.11,3.91,-216.15,1.91,0.49,-56.25,-14.38,0,-0.99,0,22.21,10.28,0,14.32,3.59,4.59,1.8,2.55,842.63
539277,Alstone Textiles (India) Ltd.,Trading,1,127.48,127.48,1.22,4.85,0.04,4.17,0.03,0,0,17.98,1.99,0,0,98.16,0.76,1.58,0.56,2.82,598.12
524634,Alufluoride Ltd.,Chemicals,10,7.82,0.78,115.4,164.71,210.63,17.51,23.2,3,0.34,22.18,59.94,0,1.33,314.66,391.3,587,377.5,1.55,323.7
506597,Amal Ltd.,Chemicals,10,12.36,1.24,71.67,86.09,69.65,1.71,1.96,0,0,2.75,71.33,0,0.02,406.61,325.7,488.8,275,1.78,406.19
501622,Amalgamated Electricity Company Ltd.,Power Generation/Distribution,5,1.39,0.28,-1.07,0.14,0.50,-0.01,-0.29,0,0,0,23.64,0,1.72,23.9,90.38,111.22,32.38,3.43,23.9
500008,Amara Raja Energy & Mobility Ltd.,Batteries,1,18.3,18.30,383.18,11708.44,639.81,934.38,49.5,9.9,0.01,14.97,32.86,0,38.39,25464.32,1374.15,1774.9,599,2.96,25413.18
521097,Amarjothi Spinning Mills Ltd.,Textile - Spinning,10,6.75,0.68,272.33,201.89,299.10,8.18,11.88,2.2,0.36,4.52,60.08,0,0,148.9,216.25,264.8,148.05,1.79,213.06
538465,Amarnath Securities Ltd.,Finance - Investment,10,3,0.30,14.45,0.41,1.37,0.19,0.62,0,0.21,4.87,55.68,0,0,9.95,33.18,63,33,1.91,10.51
539196,Amba Enterprises Ltd.,Engineering - Industrial Equipments,5,6.33,1.27,29.6,282.13,222.85,6.17,4.87,0,0.13,17.04,43.01,0,0,257.2,207,264.5,80,3.31,266.99
500009,Ambalal Sarabhai Enterprises Ltd.,Pharmaceuticals & Drugs,10,76.63,7.66,5.32,173.57,22.65,8.39,0.34,0,0.25,6.61,30.77,0,0.01,478.73,60.12,74,34.03,2.17,485.74
519471,Ambar Protein Industries Ltd.,Edible Oil,10,5.75,0.58,46.59,337.06,586.19,3.15,5.47,0,1.34,13.72,70.99,0,0,91.74,169.6,210,131.1,1.60,116.09
542524,Ambassador Intra Holdings Ltd.,Trading,10,2.09,0.21,15.13,0,0.00,0.03,0.15,0,0.19,0.36,10.23,0,0,8.98,43.94,44.9,22.3,2.01,9.34
540902,Amber Enterprises India Ltd.,Air Conditioners,10,33.69,3.37,505.66,6729.27,1997.41,141.81,12.04,0,0.67,2.47,39.87,0,44.16,15050.02,4341,4880,2712.1,1.80,15604.4
532335,Ambica Agarbathies & Aroma Industries Ltd.,Household & Personal Products,10,17.18,1.72,62.22,65.63,38.20,1.33,-2.13,0,0.6,2.44,43.41,0.01,0,51.67,29.48,42.52,23.2,1.83,116.31
